"Willamette", 1.6, "2001-07-01", "?"
"Prescott", 2.8, "2004-06-01", "?"
"Woodcrest", 12.0, "2006-06-01", "?"
"Kentsfield", 42.72, "2007-01-01", "Core 2 Quad Q6700, 4 cores * 2.67GHz * 4 ops/clock"
"Yorktown", 48, "2009-01-01", "Core 2 Quad Q9650, 4 cores * 3GHz * 4 ops/clock"
"Bloomfield", 51.2, "2009-10-20", "i7-960, 4 cores * 3.2GHz * 4 ops/clock"
"Westmere", 79.2, "2011-06-26", "i7-980, 6 cores * 3.3GHz * 4 ops/clock"
"Sandy Bridge", 112, "2011-10-24", "i7-2700K, 4 cores * 3.5GHz * 8 ops/clock"
"Ivy Bridge", 112, "2012-04-23", "i7-3770K, 4 cores * 3.5GHz * 8 ops/clock"
"Haswell", 224, "2013-06-02", "i7-4770K, 4 cores * 3.5GHz * 16 ops/clock"
